firm,year,source_document,llm_model,total_passages,substantive_count,transitional_count,symbolic_count,prop_substantive_%,prop_transitional_%,prop_symbolic_%,mean_signal_score,modal_classification
Boohoo,2021,Boohoo_2021.pdf,claude-sonnet-4-6,0,0,0,0,0.0,0.0,0.0,0.0,No_AI_Disclosure
Boohoo,2022,Boohoo_2022.pdf,claude-sonnet-4-6,0,0,0,0,0.0,0.0,0.0,0.0,No_AI_Disclosure
Boohoo,2023,Boohoo_2023.pdf,claude-sonnet-4-6,0,0,0,0,0.0,0.0,0.0,0.0,No_AI_Disclosure
Boohoo,2024,Boohoo_2024.pdf,claude-sonnet-4-6,0,0,0,0,0.0,0.0,0.0,0.0,No_AI_Disclosure
Boohoo,2025,Boohoo_2025.pdf,claude-sonnet-4-6,0,0,0,0,0.0,0.0,0.0,0.0,No_AI_Disclosure
Boozt,2021,Boozt_2021.pdf,claude-sonnet-4-6,3,0,3,0,0.0,100.0,0.0,1.0,Transitional
Boozt,2022,Boozt_2022.pdf,claude-sonnet-4-6,3,0,2,1,0.0,66.67,33.33,0.667,Transitional
Boozt,2023,Boozt Annual Report 2023.pdf,claude-sonnet-4-6,3,0,1,2,0.0,33.33,66.67,0.333,Symbolic
Boozt,2024,Boozt Annual Report 2024.pdf,claude-sonnet-4-6,3,0,2,1,0.0,66.67,33.33,0.667,Transitional
Boozt,2025,Boozt_2025.pdf,claude-sonnet-4-6,4,0,0,4,0.0,0.0,100.0,0.0,Symbolic
DocMorris,2021,DocMorris_2021.pdf,claude-sonnet-4-6,3,0,0,3,0.0,0.0,100.0,0.0,Symbolic
DocMorris,2022,DocMorris_2022.pdf,claude-sonnet-4-6,0,0,0,0,0.0,0.0,0.0,0.0,No_AI_Disclosure
DocMorris,2023,DocMorris_2023.pdf,claude-sonnet-4-6,0,0,0,0,0.0,0.0,0.0,0.0,No_AI_Disclosure
DocMorris,2024,DocMorris_2024.pdf,claude-sonnet-4-6,1,0,1,0,0.0,100.0,0.0,1.0,Transitional
DocMorris,2025,DocMorris_2025.pdf,claude-sonnet-4-6,14,1,5,8,7.14,35.71,57.14,0.5,Symbolic
HelloFresh,2021,HelloFresh_2021.pdf,claude-sonnet-4-6,0,0,0,0,0.0,0.0,0.0,0.0,No_AI_Disclosure
HelloFresh,2022,HelloFresh_2022.pdf,claude-sonnet-4-6,0,0,0,0,0.0,0.0,0.0,0.0,No_AI_Disclosure
HelloFresh,2023,HelloFresh_2023.pdf,claude-sonnet-4-6,0,0,0,0,0.0,0.0,0.0,0.0,No_AI_Disclosure
HelloFresh,2024,HelloFresh_2024.pdf,claude-sonnet-4-6,3,0,0,3,0.0,0.0,100.0,0.0,Symbolic
HelloFresh,2025,HelloFresh_2025.pdf,claude-sonnet-4-6,24,0,3,21,0.0,12.5,87.5,0.125,Symbolic
Moonpig,2021,Moonpig_2021.pdf,claude-sonnet-4-6,3,0,1,2,0.0,33.33,66.67,0.333,Symbolic
Moonpig,2022,Moonpig_2022.pdf,claude-sonnet-4-6,6,0,2,4,0.0,33.33,66.67,0.333,Symbolic
Moonpig,2023,Moonpig_2023.pdf,claude-sonnet-4-6,0,0,0,0,0.0,0.0,0.0,0.0,No_AI_Disclosure
Moonpig,2024,Moonpig_2024.pdf,claude-sonnet-4-6,12,0,0,12,0.0,0.0,100.0,0.0,Symbolic
Moonpig,2025,Moonpig_2025.pdf,claude-sonnet-4-6,6,0,0,6,0.0,0.0,100.0,0.0,Symbolic
Mytheresa,2021,LuxAnnualReport2021.pdf,claude-sonnet-4-6,6,0,0,6,0.0,0.0,100.0,0.0,Symbolic
Mytheresa,2022,LuxAnnualReport2022.pdf,claude-sonnet-4-6,6,0,0,6,0.0,0.0,100.0,0.0,Symbolic
Mytheresa,2023,LuxAnnualReport2023.pdf,claude-sonnet-4-6,15,0,0,15,0.0,0.0,100.0,0.0,Symbolic
Mytheresa,2024,LuxAnnualReport2024.pdf,claude-sonnet-4-6,0,0,0,0,0.0,0.0,0.0,0.0,No_AI_Disclosure
Mytheresa,2025,LuxAnnualReport2025.pdf,claude-sonnet-4-6,17,0,0,17,0.0,0.0,100.0,0.0,Symbolic
Redcare Pharmacy,2021,RedcarePharmacy_2021.pdf,claude-sonnet-4-6,0,0,0,0,0.0,0.0,0.0,0.0,No_AI_Disclosure
Redcare Pharmacy,2022,RedcarePharmacy_2022.pdf,claude-sonnet-4-6,0,0,0,0,0.0,0.0,0.0,0.0,No_AI_Disclosure
Redcare Pharmacy,2023,RedcarePharmacy_2023.pdf,claude-sonnet-4-6,0,0,0,0,0.0,0.0,0.0,0.0,No_AI_Disclosure
Redcare Pharmacy,2024,Redcare Pharmacy Annual Report 2024.pdf,claude-sonnet-4-6,19,0,3,16,0.0,15.79,84.21,0.158,Symbolic
Redcare Pharmacy,2025,RedcarePharmacy_2025.pdf,claude-sonnet-4-6,18,0,3,15,0.0,16.67,83.33,0.167,Symbolic
THG,2021,THG_2021.pdf,claude-sonnet-4-6,2,0,0,2,0.0,0.0,100.0,0.0,Symbolic
THG,2022,THG_2022.pdf,claude-sonnet-4-6,6,0,4,2,0.0,66.67,33.33,0.667,Transitional
THG,2023,THG_2023.pdf,claude-sonnet-4-6,8,1,7,0,12.5,87.5,0.0,1.125,Transitional
THG,2024,THG_2024.pdf,claude-sonnet-4-6,4,0,3,1,0.0,75.0,25.0,0.75,Transitional
THG,2025,THG_2025.pdf,claude-sonnet-4-6,6,0,0,6,0.0,0.0,100.0,0.0,Symbolic
Westwing,2021,Westwing_2021.pdf,claude-sonnet-4-6,0,0,0,0,0.0,0.0,0.0,0.0,No_AI_Disclosure
Westwing,2022,Westwing_2022.pdf,claude-sonnet-4-6,0,0,0,0,0.0,0.0,0.0,0.0,No_AI_Disclosure
Westwing,2023,Westwing_2023.pdf,claude-sonnet-4-6,9,0,0,9,0.0,0.0,100.0,0.0,Symbolic
Westwing,2024,Westwing_2024.pdf,claude-sonnet-4-6,6,0,0,6,0.0,0.0,100.0,0.0,Symbolic
Westwing,2025,Westwing_2025.pdf,claude-sonnet-4-6,6,0,0,6,0.0,0.0,100.0,0.0,Symbolic
Zalando,2021,Zalando_2021.pdf,claude-sonnet-4-6,0,0,0,0,0.0,0.0,0.0,0.0,No_AI_Disclosure
Zalando,2022,Zalando_2022.pdf,claude-sonnet-4-6,3,0,0,3,0.0,0.0,100.0,0.0,Symbolic
Zalando,2023,Zalando_2023.pdf,claude-sonnet-4-6,13,0,7,6,0.0,53.85,46.15,0.538,Transitional
Zalando,2024,Zalando_2024.pdf,claude-sonnet-4-6,18,0,12,6,0.0,66.67,33.33,0.667,Transitional
Zalando,2025,Zalando_2025.pdf,claude-sonnet-4-6,18,1,2,15,5.56,11.11,83.33,0.222,Symbolic
