passage_id,firm,year,page,passage_text,human_label_ai_relevant
a4e67939,HelloFresh,2025,134,"Empowering our Workforce Finally, our team's creativity and skill are the foundation of our performance. To further enhance their capabilities, we initiated a global program in 2025, aimed at increasing employee confidence in leveraging new technologies, particularly Artificial Intelligence. By prov",Yes
3205ae2a,HelloFresh,2025,48,"In the United Kingdom, GDP growth is projected at approximately 1.4%–1.6% in 2026, reflecting easing inflation and improving real income dynamics, partly offset by weak productivity growth2,3. In Australia, economic growth is expected to remain moderate at approximately 2.0%–2.3% in 2026, supported ",No
f277b67d,Moonpig,2022,27,proportion of our technology resource will be focused • Improving the recipient experience to accelerate • Artificial Intelligence-driven Customer • Ongoing programme of improvements in user on the development of consumer-facing and revenue- network effects. Relationship Management. experience and p,Yes
e7629a8e,Moonpig,2024,79,"collaboration across to product, operations, testing our prototype Moonpig and Greetz. technology, customer Moonpig for Work solution experience and the use for SME business-to- of artificial intelligence. employee greeting cards and gifting and the rapid growth of Moonpig in Australia and the Unite",Yes
d69779b9,Moonpig,2024,64,"Moonpig Group plc | Annual Report and Accounts 2024 Emerging risks Emerging risks are new or changing risks, for which likelihood and impact are uncertain or unknown, which we believe are not immediate but which may represent a significant future threat. Horizon scanning for emerging risks is perfor",No
d6e8fd5c,Mytheresa,2025,31,"As such, any improper processing of personal data by these service providers and sub-processors could harm our reputation, business, or customers, or expose us to legal liability. Additionally, advancements in technology such as artificial intelligence may also enhance consumer access to luxury good",Yes
f7f26e51,Mytheresa,2023,56,"As we scale, our global data repository grows turning the buying process into a data enhanced science. While we have been able to build our capabilities in house, we will evaluate partnerships, alliances and acquisition opportunities that enable new go-to-market strategies to further our reach and c",No
df1ca838,Mytheresa,2023,56,"While we have been able to build our capabilities in house, we will evaluate partnerships, alliances and acquisition opportunities that enable new go-to-market strategies to further our reach and customer loyalty. Additionally, by leveraging advancements in artificial intelligence and machine learni",Yes
9de5b206,Redcare Pharmacy,2024,130,Abbreviations. ABDA Federal Union of German Associations of Pharmacists NACE Statistical Classification of Economic Activities in the European APAC Asian Pacific Community B2B Business-to-business NPS Net promoter score B2C Business-to-consumer OECD The Organisation for Economic Co-operation and Dev,No
ce950933,Redcare Pharmacy,2024,30,"In 1. Validate the stakeholder analysis and to identify potential stakeholder prioritisations order to mitigate this risk, we also identified planet earth as a silent stakeholder and and assessments that require a closer look. These can be Redcare-specific leveraged a LLM to integrate the environmen",No
208d403c,Redcare Pharmacy,2024,10,"enabling quick enhancements to our digital front-end and personalised services, all while continuously analysing data to refine our strategies. Artificial Intelligence will play a crucial role in our journey ahead. It’s more than just a trend – it’s a key driver for unlocking efficiency and enhancin",Yes
59a95c49,THG,2023,17,DTC Order Multi- Buyer & F C u o n m ct m ion e a rc li e ty Ma S n y a s g t e e m m ent M A an u a d g ie e n m ce en t Cu M rre u n lt c i- i es fu O lfi p l t m io e n n s t Cr S o h ss ip B p o in r g der T O el r e d p e h ri o n n g e S A K n U al - y le ti v c e s l Average UK standard click,No
f1bdca0c,THG,2024,14,"– Media mix modelling (“MMM”): its approach – Marketplaces: connecting brands to provides data showing the true impact of third‑party marketplaces including client investment, detailing which channels Amazon with products fulfilled deliver the best returns and how to optimise through THG Fulfil. spe",No
5063f5b1,THG,2021,9,FY19. and Ingenuity clients. G C lo LO ba U l D D a S t E a R C V e I n C t E re S s D T e H l M iv G a e n D r a y E g L & e I V m C E e o R n u E t r D ier M W a S a n r y a e s g h t e e o m m u e s e n t C P h a e y c m ko e u n t t / A W u a F t r o I e R m h / o a S t u T i s o e n Su T s H ta,No
d786b6f3,Westwing,2023,76,"A dedicated session was also organised for blue-collar workers at Westwing’s delivery service. A number of compliance awareness measures were implemented in the course of 2023, including mea- sures aimed at senior leadership and all-hands sessions, and office screen/workplace posts. In addition, int",No
9f946538,Westwing,2025,155,"In response to increasing use of AI-powered tools, Westwing has initiated a revision of its AI governance guidelines to ensure that customer-facing AI applications comply with data protection requirements and internal ethical principles. To assess the effectiveness of its customer data protection sy",Yes
b06752c8,Westwing,2025,155,"Data protection Westwing takes action on data protection and privacy to prevent risks related to unauthorised access, disclosure or theft of customer data. A group-wide framework for data retention and deletion has been established to set standards for storing, archiving and deleting customer and pe",No
b3e81a38,Zalando,2024,84,"To accelerate the execution of the ecosystem strategy, we continue to invest in our technological capabilities. In 2023, we launched the Zalando Assistant, powered by the large language models of AI research and the deployment company OpenAI. After months of successful collaboration, the two compani",Yes
ed63d787,Zalando,2025,77,"2.2 Report on economic position 2.2.1 Macroeconomic and sector-specific environment In 2025 the global economy proved more resilient than expected, despite persistent underlying fragilities. Growth was primarily bolstered by a front-loading of production, robust investment in artificial intelligence",Yes
c67a56b6,Zalando,2025,185,"We are currently developing a scalable EPR solution, which is not yet applicable to ABOUT YOU. As a crucial first step towards achieving efficient and accurate compliance across multiple European markets, our solution leverages machine learning to automate the classification of our vast product asso",Yes
